TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,GROUP WEIGHTED #,WEIGHTED SAMPLE SIZE (#),UNWEIGHTED SAMPLE SIZE (#)
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,HH INCOME: L.T. $50K,0,0,271.3182393,282
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,HH INCOME: $50- <$100K,38.60584485,103.6765302,268.5513829,266
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,HH INCOME: $50- <$100K,61.39415515,164.8748527,268.5513829,266
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,HH INCOME: $50- <$100K,0,0,268.5513829,266
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,HH INCOME: $100K+,37.20829358,69.61491068,187.0951446,176
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,HH INCOME: $100K+,62.79170642,117.4802339,187.0951446,176
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,HH INCOME: $100K+,0,0,187.0951446,176
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,AGE: 18- 34,32.33669376,64.65915786,199.9559953,118
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,AGE: 18- 34,66.23039371,132.4316429,199.9559953,118
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,AGE: 18- 34,1.432912529,2.865194509,199.9559953,118
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,AGE: 35- 54,28.75062922,83.32016078,289.8029123,252
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,AGE: 35- 54,71.24937078,206.4827515,289.8029123,252
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,AGE: 35- 54,0,0,289.8029123,252
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,AGE: 55+,54.72532724,169.7804531,310.2410924,430
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,AGE: 55+,45.10129935,139.9227638,310.2410924,430
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,AGE: 55+,0.173373408,0.537875555,310.2410924,430
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,EDUCATION: L.T. H.S.,44.62710953,40.56865323,90.90584997,103
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,EDUCATION: L.T. H.S.,54.78120627,49.79932118,90.90584997,103
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: L.T. H.S.,0.591684204,0.537875555,90.90584997,103
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,EDUCATION: Grad H.S.,37.23983379,60.39932304,162.1900983,162
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,EDUCATION: Grad H.S.,62.76016621,101.7907753,162.1900983,162
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: Grad H.S.,0,0,162.1900983,162
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,EDUCATION: Some P.S.,29.47828059,24.34317037,82.5800212,75
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,EDUCATION: Some P.S.,70.52171941,58.23685084,82.5800212,75
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: Some P.S.,0,0,82.5800212,75
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,EDUCATION: Grad P.S.,41.39884449,185.006671,446.88849,444
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,EDUCATION: Grad P.S.,58.60115551,261.881819,446.88849,444
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: Grad P.S.,0,0,446.88849,444
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,NOVA SCOTIA %,50.38939807,160.1172363,317.7597717,351
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,NOVA SCOTIA %,32.76874847,104.1259003,317.7597717,351
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,NOVA SCOTIA %,9.032884964,28.70287464,317.7597717,351
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,NOVA SCOTIA %,2.874729714,9.134734576,317.7597717,351
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,NOVA SCOTIA %,4.934238783,15.67902589,317.7597717,351
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,REGION: Halifax,58.9047862,83.15648762,141.1710202,168
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,REGION: Halifax,26.19424328,36.97868047,141.1710202,168
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,REGION: Halifax,8.58548453,12.1202161,141.1710202,168
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,REGION: Halifax,2.452310791,3.461952162,141.1710202,168
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,REGION: Halifax,3.863175195,5.453683834,141.1710202,168
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,REGION: Cape Breton,43.61213306,24.37912258,55.89986288,47
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,REGION: Cape Breton,41.66113726,23.28851861,55.89986288,47
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,REGION: Cape Breton,11.84985045,6.624050155,55.89986288,47
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,REGION: Cape Breton,0,0,55.89986288,47
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,REGION: Cape Breton,2.876879218,1.608171538,55.89986288,47
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,REGION: Rest of mainland,43.56790974,52.58162608,120.6888887,136
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,REGION: Rest of mainland,36.34029756,43.85870126,120.6888887,136
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,REGION: Rest of mainland,8.251470786,9.958608389,120.6888887,136
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,REGION: Rest of mainland,4.700335281,5.672782414,120.6888887,136
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,REGION: Rest of mainland,7.139986636,8.617170521,120.6888887,136
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,GENDER: M,43.09762922,57.69054149,133.8601277,152
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,GENDER: M,41.21665681,55.17266942,133.8601277,152
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,GENDER: M,8.100061314,10.84275242,133.8601277,152
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,GENDER: M,4.288725608,5.740893574,133.8601277,152
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,GENDER: M,3.296927043,4.413270748,133.8601277,152
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,GENDER: F,55.69705983,102.4266948,183.8996441,199
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,GENDER: F,26.61953543,48.95323091,183.8996441,199
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,GENDER: F,9.711885152,17.86012223,183.8996441,199
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,GENDER: F,1.845485357,3.393841002,183.8996441,199
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,GENDER: F,6.12603423,11.26575515,183.8996441,199
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,HH INCOME: L.T. $50K,53.3026996,56.80502575,106.5706356,122
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,HH INCOME: L.T. $50K,32.01321227,34.11668379,106.5706356,122
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,HH INCOME: L.T. $50K,4.421295849,4.711803088,106.5706356,122
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,HH INCOME: L.T. $50K,1.208830762,1.288258626,106.5706356,122
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,HH INCOME: L.T. $50K,9.053961517,9.648864335,106.5706356,122
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,HH INCOME: $50- <$100K,55.68021231,57.72731216,103.6765302,117
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,HH INCOME: $50- <$100K,28.41608455,29.46081049,103.6765302,117
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,HH INCOME: $50- <$100K,10.24412328,10.62075157,103.6765302,117
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,HH INCOME: $50- <$100K,3.614146347,3.747021531,103.6765302,117
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,HH INCOME: $50- <$100K,2.045433512,2.120634494,103.6765302,117
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,HH INCOME: $100K+,37.03453095,25.78155565,69.61491068,69
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,HH INCOME: $100K+,39.5864783,27.55809151,69.61491068,69
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,HH INCOME: $100K+,15.28939088,10.64369581,69.61491068,69
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,HH INCOME: $100K+,4.706620267,3.276509495,69.61491068,69
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,HH INCOME: $100K+,3.382979596,2.355058224,69.61491068,69
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,AGE: 18- 34,47.9733902,31.0191901,64.65915786,38
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,AGE: 18- 34,27.44499766,17.74570436,64.65915786,38
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,AGE: 18- 34,7.53696355,4.87333716,64.65915786,38
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,AGE: 18- 34,7.440881376,4.811211235,64.65915786,38
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,AGE: 18- 34,9.60376721,6.209715001,64.65915786,38
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,AGE: 35- 54,42.61062539,35.50324158,83.32016078,75
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,AGE: 35- 54,32.18042346,26.81278057,83.32016078,75
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,AGE: 35- 54,19.59529836,16.3268341,83.32016078,75
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,AGE: 35- 54,1.667513425,1.389374867,83.32016078,75
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,AGE: 35- 54,3.946139361,3.28792966,83.32016078,75
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,AGE: 55+,55.12696126,93.59480459,169.7804531,238
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,AGE: 55+,35.08496668,59.56741539,169.7804531,238
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,AGE: 55+,4.419061938,7.502703379,169.7804531,238
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,AGE: 55+,1.728201581,2.934148474,169.7804531,238
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,AGE: 55+,3.640808538,6.181381232,169.7804531,238
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,EDUCATION: L.T. H.S.,55.78208871,22.63004213,40.56865323,51
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,EDUCATION: L.T. H.S.,33.93398331,13.76656002,40.56865323,51
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,EDUCATION: L.T. H.S.,3.553129501,1.441456786,40.56865323,51
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,EDUCATION: L.T. H.S.,0,0,40.56865323,51
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,EDUCATION: L.T. H.S.,6.730798475,2.730594293,40.56865323,51
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,EDUCATION: Grad H.S.,54.07200566,32.65912537,60.39932304,66
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,EDUCATION: Grad H.S.,32.56640735,19.66988958,60.39932304,66
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,EDUCATION: Grad H.S.,1.691148569,1.021442287,60.39932304,66
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,EDUCATION: Grad H.S.,1.362506867,0.822944924,60.39932304,66
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,EDUCATION: Grad H.S.,10.30793155,6.225920876,60.39932304,66
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,EDUCATION: Some P.S.,50.89131038,12.38855839,24.34317037,30
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,EDUCATION: Some P.S.,44.08036984,10.73055953,24.34317037,30
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,EDUCATION: Some P.S.,0,0,24.34317037,30
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,EDUCATION: Some P.S.,2.209554248,0.537875555,24.34317037,30
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,EDUCATION: Some P.S.,2.818765534,0.686176896,24.34317037,30
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A doctors office,EDUCATION: Grad P.S.,47.49131246,87.86209621,185.006671,197
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A pharmacy,EDUCATION: Grad P.S.,31.76122639,58.76038761,185.006671,197
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Your workplace,EDUCATION: Grad P.S.,13.68832929,25.32432234,185.006671,197
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,A public health walk-in clinic,EDUCATION: Grad P.S.,4.201964207,7.773914097,185.006671,197
TABLE AD2:   [ASK IF YES IN AD1] And where did you receive your flu vaccination? Was it at:,Another location,EDUCATION: Grad P.S.,2.857167651,5.285950757,185.006671,197
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,NOVA SCOTIA %,30.66355936,147.8720187,482.2402283,449
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,NOVA SCOTIA %,66.10924102,318.8053548,482.2402283,449
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,NOVA SCOTIA %,3.227199618,15.56285481,482.2402283,449
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,REGION: Halifax,38.57683604,76.08010747,197.2170745,193
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,REGION: Halifax,57.87033969,114.1301909,197.2170745,193
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,REGION: Halifax,3.552824274,7.006776096,197.2170745,193
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,REGION: Cape Breton,40.0537804,25.01095315,62.44342706,48
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,REGION: Cape Breton,54.49643919,34.02944426,62.44342706,48
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,REGION: Cape Breton,5.449780411,3.403029656,62.44342706,48
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,REGION: Rest of mainland,21.01761861,46.78095806,222.5797267,208
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,REGION: Rest of mainland,76.66723386,170.6457196,222.5797267,208
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,REGION: Rest of mainland,2.315147533,5.153049053,222.5797267,208
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,GENDER: M,31.31700909,77.60581908,247.8072502,225
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,GENDER: M,66.2531616,164.1801379,247.8072502,225
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,GENDER: M,2.429829303,6.02129318,247.8072502,225
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,GENDER: F,29.97283069,70.26619961,234.4329781,224
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,GENDER: F,65.95710984,154.6252169,234.4329781,224
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,GENDER: F,4.07005947,9.541561625,234.4329781,224
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,HH INCOME: L.T. $50K,33.50039827,55.19110339,164.7476037,160
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,HH INCOME: L.T. $50K,65.11880304,107.2816676,164.7476037,160
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,HH INCOME: L.T. $50K,1.380798693,2.27483276,164.7476037,160
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,HH INCOME: $50- <$100K,29.79611215,49.12629601,164.8748527,149
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,HH INCOME: $50- <$100K,67.25509627,110.8867409,164.8748527,149
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,HH INCOME: $50- <$100K,2.948791581,4.861815776,164.8748527,149
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,HH INCOME: $100K+,29.95281298,35.18863476,117.4802339,107
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,HH INCOME: $100K+,66.8830296,78.57433963,117.4802339,107
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,HH INCOME: $100K+,3.164157419,3.717259538,117.4802339,107
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,AGE: 18- 34,27.95329232,37.81992047,135.2968374,80
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,AGE: 18- 34,68.5662518,92.76797024,135.2968374,80
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,AGE: 18- 34,3.480455878,4.708946731,135.2968374,80
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,AGE: 35- 54,25.86153666,53.39961248,206.4827515,177
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,AGE: 35- 54,70.59332127,145.7630321,206.4827515,177
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,AGE: 35- 54,3.545142071,7.320106893,206.4827515,177
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,AGE: 55+,40.33335317,56.65248573,140.4606394,192
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,AGE: 55+,57.15078104,80.27435244,140.4606394,192
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,AGE: 55+,2.515865795,3.533801181,140.4606394,192
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,EDUCATION: L.T. H.S.,37.42069925,18.836531,50.33719674,52
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,EDUCATION: L.T. H.S.,58.91649801,29.65691351,50.33719674,52
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: L.T. H.S.,3.662802741,1.843752222,50.33719674,52
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,EDUCATION: Grad H.S.,17.6228897,17.93847605,101.7907753,96
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,EDUCATION: Grad H.S.,81.16978158,82.62334996,101.7907753,96
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: Grad H.S.,1.207328726,1.22894927,101.7907753,96
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,EDUCATION: Some P.S.,26.49982234,15.43266201,58.23685084,45
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,EDUCATION: Some P.S.,69.82594406,40.66443089,58.23685084,45
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: Some P.S.,3.674233595,2.139757938,58.23685084,45
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Yes,EDUCATION: Grad P.S.,35.92768246,94.08806835,261.881819,247
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,No,EDUCATION: Grad P.S.,61.21408138,160.3085498,261.881819,247
TABLE AD3:   [DO NOT ASK IF YES IN AD1] Are you planning on getting the flu vaccination for the current flu season?,Dont know/No answer,EDUCATION: Grad P.S.,2.858236167,7.485200866,261.881819,247
TABLE AD1/AD3:   [FULL-BASE] Are you planning on getting the flu vaccination for the current flu season?,Yes,NOVA SCOTIA %,18.48400234,147.8720187,800,800
